Set,PriceEuro,Pieces,Minifigs
Elsa's Jewellery Box Creation,,300,1
Olaf,,122,
Underwater Loop,,389,2 (2 unique to this set)
Andrea's Heart Box,,84,1 (1 unique to this set)
Emma's Heart Box,,85,1 (1 unique to this set)
Stephanie's Heart Box,,85,1 (1 unique to this set)
Olivia's Heart Box,,85,2 (2 unique to this set)
Mia's Heart Box,,83,1 (1 unique to this set)
Heart Box Friendship Pack,,199,2 (2 unique to this set)
Emma's Mobile Veterinary Clinic,,50,1 (1 unique to this set)
Mia's Foal Stable,,118,1 (1 unique to this set)
Heartlake City Supermarket,,140,2
Mia's Forest Adventure,,134,1 (1 unique to this set)
Stephanie's Buggy & Trailer,,166,1 (1 unique to this set)
Emma's Art Studio,,235,2 (2 unique to this set)
Olivia's Cupcake Cafe,,335,2 (2 unique to this set)
Stephanie's Horse Jumping,,337,2 (2 unique to this set)
Andrea's Talent Show,,492,2 (1 unique to this set)
Mia's House,,715,3 (2 unique to this set)
Mia's Horse Trailer,,216,2 (2 unique to this set)
Stephanie's Gymnastics Show,,241,2 (2 unique to this set)
Funny Octopus Ride,,324,2 (1 unique to this set)
Andrea's Pool Party,,468,2 (2 unique to this set)
Heartlake City Amusement Pier,,1251,7 (7 unique to this set)
Turtles Rescue Mission,,225,2 (2 unique to this set)
Dolphins Rescue Mission,,363,2 (2 unique to this set)
Heartlake City Restaurant,,624,3 (1 unique to this set)
Lighthouse Rescue Centre,,602,2 (2 unique to this set)
Rescue Mission Boat,,908,4 (4 unique to this set)
LEGO Friends Advent Calendar,,330,3 (3 unique to this set)
Olivia's Hamster Playground,,81,1 (1 unique to this set)
Andrea's Summer Heart Box,,83,1 (1 unique to this set)
Emma's Summer Heart Box,,86,1 (1 unique to this set)
Stephanie's Summer Heart Box,,95,1
Olivia's Summer Heart Box,,93,2 (2 unique to this set)
Mia's Summer Heart Box,,85,1 (1 unique to this set)
Emmet,,113,
Wyldstyle,,134,
Benny,,103,
Sweet Mayhem,,137,
Cherry Picker,,155,
Power Boat,,174,
Getaway Truck,,128,
Police Pursuit,,120,
Rescue Helicopter,,325,
Chevrolet Corvette ZR1,,579,
Tracked Loader,,827,
Remote-Controlled Stunt Racer,,324,
Porsche 911 RSR,,1580,
Compact Crawler Crane,,920,
Car Transporter,,2493,
4x4 X-Treme Off-Roader,,958,
Liebherr R 9800,,4108,
Land Rover Defender,,2573,
Elsa's Ice Palace,,701,7 (1 unique to this set)
City Shaper Challenge Kit,,2238,1 (1 unique to this set)
BOOMTOWN BUILD Inspire Set,,739,
BOOMTOWN BUILD Discovery Set,,78,4
Ski Resort,,806,11 (9 unique to this set)
Jet Patrol,,54,2 (2 unique to this set)
Sky Police Drone Chase,,192,3 (1 unique to this set)
Parachute Arrest,,218,4 (3 unique to this set)
Diamond Heist,,400,4 (3 unique to this set)
Air Base,,529,6 (4 unique to this set)
Barbecue Burn Out,,64,2 (1 unique to this set)
Dock Side Fire,,97,2 (1 unique to this set)
Burger Bar Fire Rescue,,327,3 (3 unique to this set)
Fire Station,,509,4 (2 unique to this set)
Downtown Fire Brigade,,943,7 (4 unique to this set)
Fire Plane,,363,3 (1 unique to this set)
Desert Rally Racer,,75,1 (1 unique to this set)
Construction Loader,,88,1 (1 unique to this set)
Garbage Truck,,90,2 (2 unique to this set)
Diving Yacht,,148,2 (2 unique to this set)
Snow Groomer,,197,2 (2 unique to this set)
Harvester Transport,,358,3 (3 unique to this set)
Satellite Service Mission,,84,1
Rover Testing Drive,,202,2
Mars Research Shuttle,,273,2 (1 unique to this set)
Lunar Space Station,,412,5 (4 unique to this set)
Deep Space Rocket and Launch Control,,837,7 (3 unique to this set)
Rocket Assembly & Transport,,1055,8 (3 unique to this set)
People Pack - Space Research and Development,,209,15 (12 unique to this set)
Fire Chief Response Truck,,201,2
Garage Centre,,234,4 (3 unique to this set)
Donut Shop Opening,,790,10 (8 unique to this set)
People Pack - Fun Fair,,183,14 (13 unique to this set)
LEGO City Advent Calendar,,234,8 (5 unique to this set)
Straight & T-Junction,,2,
Curves & Crossroad,,2,
Police Patrol Car,,92,1
Kayak Adventure,,84,1 (1 unique to this set)
Super Pack 3-in-1,,,
Super Pack 2-in-1,,,
Super Pack 2-in-1,,,
Bonus/Value pack,,218,
Bonus/Value pack,,125,
2-in-1 Value Pack: Star-Lord & Gamora,,249,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
J.B.'s Ghost Lab,,174,3
Wrecked Shrimp Boat,,310,4 (2 unique to this set)
Graveyard Mystery,,335,4 (1 unique to this set)
El Fuego's Stunt Truck,,428,4 (3 unique to this set)
Shrimp Shack Attack,,579,5 (3 unique to this set)
Paranormal Intercept Bus 3000,,689,5 (3 unique to this set)
Ghost Train Express,,698,6 (3 unique to this set)
Newbury Haunted High School,,1474,8 (4 unique to this set)
Spinjitzu Kai,,97,1
Spinjitzu Jay,,97,1
Spinjitzu Zane,,109,1
Spinjitzu Cole,,117,1
Spinjitzu Nya & Wu,,227,2
Spinjitzu Lloyd vs. Garmadon,,208,2
The Samurai Mech,,154,3 (3 unique to this set)
The Golden Dragon,,171,3 (2 unique to this set)
Kai's Blade Cycle & Zane's Snowmobile,,376,4
